precinct_id,dis_id,voters_total,lat,lon,mun_id
62033,62,997,41.987581706836245,42.233117235284936,62
62034,62,449,41.94932830838688,42.29247047571737,62
62035,62,748,41.96148132337428,42.21810419752252,62
62036,62,324,41.98704660451369,42.20655452872768,62
62037,62,167,41.95796195833048,42.195334689764834,62
62038,62,875,42.01919559165355,42.24265093251071,62
63001,63,1312,42.20987830101821,42.201903515896234,63
63002,63,805,42.21082883143243,42.229144738319235,63
63003,63,1493,42.18587620553794,42.21513668502399,63
63004,63,588,42.2320703605196,42.27047632360993,63
63005,63,1079,42.21066086744927,42.11435949880701,63
63006,63,844,42.13738440415824,42.1740290238239,63
63007,63,979,42.18106567148986,42.269812448174626,63
63008,63,975,42.17078330626178,42.19654878663767,63
63009,63,1297,42.22039358456495,42.17633786805659,63
63010,63,610,42.24765332688858,42.25260959579872,63
63011,63,898,42.145615057665104,42.25327832183688,63
63012,63,1256,42.28013305238772,42.30502822706295,63
63013,63,806,42.28072012212984,42.240510570306604,63
63014,63,1112,42.19743776182993,42.15537308286618,63
63015,63,653,42.18246553906224,42.146510444951666,63
63016,63,993,42.15286093693256,42.21276149006561,63
63017,63,1038,42.20108421533713,42.25989028986573,63
63018,63,822,42.241237170135115,42.22204731466069,63
63019,63,562,42.25949400229817,42.17230168672534,63
63020,63,1003,42.21449824405458,42.21031116750084,63
63021,63,906,42.19841006980518,42.21702031422275,63
63022,63,849,42.249585382102836,42.199901953974035,63
63023,63,649,42.191792902731144,42.28435455141219,63
63024,63,513,42.12320727600431,42.27511690833028,63
64001,64,1207,42.27558998020304,42.06063405880872,64
64002,64,1092,42.278557147341466,42.07007227304695,64
64003,64,1009,42.27053871356905,42.077389600348006,64
64004,64,1547,42.28003563244844,42.075850518529634,64
64005,64,1106,42.27141698155021,42.04273032212231,64
64006,64,1033,42.272174539621936,42.09536534514,64
64007,64,1439,42.27846646693044,42.08280249208271,64
64008,64,1538,42.28109753028593,42.08903378028158,64
64009,64,1485,42.28866120087971,42.10272846085799,64
64010,64,1371,42.26987448950988,42.05562667472188,64
64011,64,831,42.27192744986289,42.05111297593347,64
64012,64,1423,42.279603033915436,42.04945203823286,64
64013,64,1125,42.27828915254065,42.03384512788327,64
64014,64,1477,42.28060864952757,42.042162059293915,64
64015,64,1276,42.26192845384099,42.05174869854193,64
64016,64,1534,42.25997976700592,42.062458367667745,64
64017,64,1125,42.26425282192245,42.07299810535898,64
64018,64,1207,42.27934437898598,42.109735313712605,64
64019,64,598,42.26623306885696,42.037598500872456,64
64020,64,1334,42.24602868860004,42.0596984654765,64
64021,64,896,42.298741759280645,42.19820503608489,64
64022,64,573,42.34282934916093,42.11214174327779,64
64023,64,1051,42.39146095125221,42.08465152384945,64
64024,64,456,42.20156000163585,41.94194857016516,64
64025,64,1440,42.22764218960844,42.00876066247793,64
64026,64,666,42.41347266837718,42.220813463660534,64
64027,64,201,42.394708329879926,42.220043775470856,64
64028,64,1002,42.30173902505498,42.022373460036455,64
64029,64,1458,42.24799128166051,42.10630007634465,64
64030,64,766,42.25465983397641,42.13762039155608,64
64031,64,658,42.3520416114315,42.20909671467645,64
64032,64,486,42.34315673910765,42.19658647647181,64
64033,64,669,42.3900316196546,42.14840458764346,64
64034,64,640,42.418382972754266,42.18490805053062,64
64035,64,710,42.439455924066024,42.15792100441246,64
64036,64,1495,42.27963745918592,42.146923665061685,64
64037,64,869,42.325683686851214,42.15650702646703,64
64038,64,582,42.30465362823484,42.13213780558441,64
64039,64,640,42.35330005744381,42.05202510836814,64
64040,64,402,42.34554676939638,41.99154180107139,64
64041,64,548,42.24840619986955,41.989892211015004,64
64042,64,729,42.26455905882262,42.0857922961913,64
64043,64,1036,42.2735449338734,42.026448256106995,64
65001,65,1093,42.43282662191351,42.37337564212163,65
65002,65,1323,42.412111834999486,42.381034237348,65
65003,65,460,42.41878155848538,42.41962107828591,65
65004,65,1063,42.397335127115696,42.37126054898563,65
65005,65,637,42.3779264063889,42.24162790043119,65
65006,65,460,42.41471107704089,42.27340482021966,65
65007,65,700,42.4127687486648,42.297478968467885,65
65008,65,620,42.34572281480654,42.27999410287871,65
65009,65,1086,42.357366868492115,42.2914789167774,65
65010,65,923,42.373641881425634,42.28688194474158,65
65011,65,732,42.492855151228774,42.451653436556356,65
65012,65,788,42.45249232225777,42.25509401173617,65
65013,65,1249,42.49252088958407,42.31995799874136,65
65014,65,804,42.49458565142554,42.30505296527035,65
65015,65,622,42.49576837172982,42.330004860996965,65
65016,65,374,42.52931776399028,42.25381512805865,65
65017,65,833,42.32562573496025,42.27935475553501,65
65018,65,967,42.31560521319988,42.24513060800452,65
65019,65,973,42.47264915134719,42.33813742676828,65
65020,65,531,42.45611041996875,42.304971930665104,65
65021,65,1312,42.44616636965265,42.39828747485812,65
65022,65,737,42.466999728580355,42.20559441126126,65
65023,65,430,42.459208957627006,42.21902342736475,65
65024,65,396,42.56757204670041,42.28246937156691,65
65025,65,967,42.588241898160895,42.28933715252977,65
65026,65,1170,42.351353314323894,42.349928589535565,65
65027,65,929,42.378600644721274,42.36711803781923,65
65028,65,889,42.38040420438799,42.34265148259227,65
65029,65,811,42.42362095445379,42.32869840159429,65
65030,65,1244,42.34100710358463,42.32522312078132,65
65031,65,813,42.31703856961444,42.31957768207268,65
65032,65,1392,42.528874320739035,42.34972152651066,65
65033,65,1319,42.50354267940918,42.33896170556059,65
65034,65,1041,42.398572437338295,42.339434909968986,65
65035,65,1437,42.539061573858056,42.3092580509522,65
